,Name,Gender,Born in,Birth,Death,Age,Movies/Series
308,Mel Gibson,M,"Peekskill, New York, USA",3/1/1956,Alive,66.0,75.0
309,Angourie Rice,F,Australia,1/1/2001,Alive,21.0,26.0
310,Joel Kinnaman,M,"Stockholm, Sweden",25/11/1979,Alive,42.0,50.0
311,Travis Fimmel,M,"nr. Echuca, Victoria, Australia",15/7/1979,Alive,43.0,39.0
312,Jake Gyllenhaal,M,"Los Angeles, California, USA",19/12/1980,Alive,41.0,63.0
313,Richard Gere,M,"Philadelphia, Pennsylvania, USA",31/8/1949,Alive,73.0,62.0
314,D'Arcy Carden,F,"Danville, California, USA",4/1/1980,Alive,42.0,64.0
315,Emilia McCarthy,F,"London, Ontario, Canada",28/8/1997,Alive,25.0,26.0
316,Jeffrey Dean Morgan,M,"Seattle, Washington, USA",22/4/1966,Alive,56.0,76.0
317,Debbie Gibson,F,"Brooklyn, New York City, New York, USA",31/8/1970,Alive,52.0,57.0
318,Joely Richardson,F,"Marylebone, London, England, UK",9/1/1965,Alive,57.0,78.0
319,Jamie Foxx,M,"Terrell, Texas, USA",13/12/1967,Alive,54.0,92.0
320,Danny Ramirez,M,"Chicago, Illinois, USA",17/9/1992,Alive,29.0,23.0
321,Robert Downey Jr.,M,"Manhattan, New York City, New York, USA",4/4/1965,Alive,57.0,93.0
322,Kayvan Novak,M,"London, England, UK",23/11/1978,Alive,43.0,78.0
323,Harry Styles,M,"Evesham, Worcestershire, England, UK",1/2/1994,Alive,28.0,67.0
324,Liam Neeson,M,"Ballymena, Co. Antrim, Northern Ireland, UK",7/6/1952,Alive,70.0,144.0
325,Grace Caroline Currey,F,USA,17/7/1996,Alive,26.0,21.0
326,Brandon Perea,M,"Chicago, Illinois, USA",25/5/1995,Alive,27.0,10.0
327,Arnold Schwarzenegger,M,"Thal, Styria, Austria",30/7/1947,Alive,75.0,82.0
328,Hailee Steinfeld,F,"Tarzana, Los Angeles, California, USA",11/12/1996,Alive,25.0,56.0
329,Will Smith,M,"Philadelphia, Pennsylvania, USA",25/9/1968,Alive,53.0,73.0
330,Karen Robinson,F,"Leslieville, Toronto, Ontario, Canada",28/2/1968,Alive,54.0,101.0
331,Amber Heard,F,"Austin, Texas, USA",22/4/1986,Alive,36.0,50.0
332,Milana Vayntrub,F,"Tashkent, Uzbek SSR, USSR [now Uzbekistan]",8/3/1987,Alive,35.0,64.0
333,Kaley Cuoco,F,"Camarillo, California, USA",30/11/1985,Alive,36.0,70.0
334,Johanna Braddy,F,"Atlanta, Georgia, USA",30/8/1987,Alive,35.0,56.0
335,George Clooney,M,"Lexington, Kentucky, USA",6/5/1961,Alive,61.0,80.0
336,Rachel Weisz,F,"Westminster, London, England, UK",7/3/1970,Alive,52.0,60.0
337,Abbie Cornish,F,"Lochinvar, New South Wales, Australia",7/8/1982,Alive,40.0,43.0
338,Garret Dillahunt,M,"Castro Valley, California, USA",24/11/1964,Alive,57.0,91.0
339,Nicole Kidman,F,"Honolulu, Hawaii, USA",20/6/1967,Alive,55.0,96.0
340,Mark Linn-Baker,M,"St. Louis, Missouri, USA",17/6/1954,Alive,68.0,53.0
341,Yvonne Strahovski,F,"Maroubra, Sydney, New South Wales, Australia",30/7/1982,Alive,40.0,39.0
342,Kelsey Asbille,F,"Columbia, South Carolina, USA",9/9/1991,Alive,30.0,24.0
343,Michelle Yeoh,F,"Ipoh, Malaysia",6/8/1962,Alive,60.0,69.0
344,Paul Rudd,M,"Passaic, New Jersey, USA",6/4/1969,Alive,53.0,128.0
345,Melissanthi Mahut,F,,,,,22.0
346,Chris Hemsworth,M,"Melbourne, Victoria, Australia",11/8/1983,Alive,39.0,49.0
347,Bella Thorne,F,"Pembroke Pines, Florida, USA",8/10/1997,Alive,24.0,120.0
348,Hayley Atwell,F,"London, England, UK",5/4/1982,Alive,40.0,55.0
349,Dylan O'Brien,M,"New York City, New York, USA",26/8/1991,Alive,31.0,27.0
350,Jennifer Aniston,F,"Sherman Oaks, California, USA",11/2/1969,Alive,53.0,70.0
351,Hugo Weaving,M,"Ibadan, Nigeria",4/4/1960,Alive,62.0,97.0
352,Matt Damon,M,"Boston, Massachusetts, USA",8/10/1970,Alive,51.0,93.0
353,Kevin Costner,M,"Lynwood, California, USA",18/1/1955,Alive,67.0,65.0
354,Jason Statham,M,"Shirebrook, Derbyshire, England, UK",26/7/1967,Alive,55.0,55.0
355,Nicholas Galitzine,M,"London, England, UK",29/9/1994,Alive,27.0,13.0
356,Ashley Johnson,F,"Camarillo, California, USA",9/8/1983,Alive,39.0,145.0
357,Pedro Pascal,M,"Santiago de Chile, Metropolitan Region, Chile",2/4/1975,Alive,47.0,62.0
358,Kristen Stewart,F,"Los Angeles, California, USA",9/4/1990,Alive,32.0,59.0
359,Andrew Garfield,M,"Los Angeles, California, USA",20/8/1983,Alive,39.0,34.0
360,Luke Evans,M,"Pontypool, Wales, UK",15/4/1979,Alive,43.0,49.0
361,Finn Wolfhard,M,"Vancouver, British Columbia, Canada",23/12/2002,Alive,19.0,43.0
362,Gina Carano,F,"Dallas County, Texas, USA",16/4/1982,Alive,40.0,18.0
363,Amy Ryan,F,"Queens, New York City, New York, USA",3/5/1968,Alive,54.0,72.0
364,Gemma Arterton,F,"Gravesend, Kent, England, UK",2/2/1986,Alive,36.0,66.0
365,Amanda Seyfried,F,"Allentown, Pennsylvania, USA",3/12/1985,Alive,36.0,63.0
366,Greta Scacchi,F,"Milan, Lombardy, Italy",18/2/1960,Alive,62.0,90.0
367,Riley Keough,F,"Santa Monica, California, USA",29/5/1989,Alive,33.0,38.0
368,Matthew Goode,M,"Exeter, Devon, England, UK",3/4/1978,Alive,44.0,52.0
369,Vanesu Samunyai,F,,,,,1.0
370,Michael Shannon,M,"Lexington, Kentucky, USA",7/8/1974,Alive,48.0,108.0
371,Lynn Collins,F,"Houston, Texas, USA",16/5/1977,Alive,45.0,49.0
372,Genesis Rodriguez,F,"Miami, Florida, USA",29/7/1987,Alive,35.0,31.0
373,Emma Watson,F,"Paris, France",15/4/1990,Alive,32.0,25.0
374,Zoe Lister-Jones,F,"New York City, New York, USA",1/9/1982,Alive,40.0,46.0
375,Julia Roberts,F,"Smyrna, Georgia, USA",28/10/1967,Alive,54.0,68.0
376,Madison Iseman,F,"Myrtle Beach, South Carolina, USA",14/2/1997,Alive,25.0,45.0
377,Adam Driver,M,"San Diego, California, USA",19/11/1983,Alive,38.0,50.0
378,Alan Ritchson,M,"Grand Forks, North Dakota, USA",28/11/1984,Alive,37.0,48.0
379,Vanessa Kirby,F,"London, England, UK",18/4/1988,Alive,34.0,35.0
380,'Weird Al' Yankovic,M,"Downey, California, USA",23/10/1959,Alive,62.0,185.0
381,Imogen Poots,F,"London, England, UK",3/6/1989,Alive,33.0,48.0
382,Harrison Ford,M,"Chicago, Illinois, USA",13/7/1942,Alive,80.0,85.0
383,Mackenzie Davis,F,"Vancouver, British Columbia, Canada",1/4/1987,Alive,35.0,32.0
384,Sara Ramirez,F,"Mazatlan, Sinaloa, Mexico",31/8/1975,Alive,47.0,25.0
385,Carice van Houten,F,"Leiderdorp, Zuid-Holland, Netherlands",5/9/1976,Alive,46.0,55.0
386,Padma Lakshmi,F,"Madras, Tamil Nadu, India",1/9/1970,Alive,52.0,18.0
387,Channing Tatum,M,"Cullman, Alabama, USA",26/4/1980,Alive,42.0,66.0
388,Al Pacino,M,"Manhattan, New York City, New York, USA",25/4/1940,Alive,82.0,64.0
389,Laura Haddock,F,"England, UK",21/8/1985,Alive,37.0,42.0
390,Martha Plimpton,F,"New York City, New York, USA",16/11/1970,Alive,51.0,85.0
391,Giancarlo Esposito,M,"Copenhagen, Denmark",26/4/1958,Alive,64.0,190.0
392,Chloë Grace Moretz,F,"Atlanta, Georgia, USA",10/2/1997,Alive,25.0,75.0
393,Steve Martin,M,"Waco, Texas, USA",14/8/1945,Alive,77.0,68.0
394,James McAvoy,M,"Glasgow, Scotland, UK",21/4/1979,Alive,43.0,62.0
395,Dave Franco,M,"Palo Alto, California, USA",12/6/1985,Alive,37.0,59.0
396,Michael Michele,F,"Evansville, Indiana, USA",30/8/1966,Alive,56.0,35.0
397,Anne Hathaway,F,"Brooklyn, New York City, New York, USA",12/11/1982,Alive,39.0,58.0
398,Dakota Johnson,F,"Austin, Texas, USA",4/10/1989,Alive,32.0,39.0
399,Rebecca Hall,F,"London, England, UK",3/5/1982,Alive,40.0,48.0
400,Carrie Coon,F,"Copley, Ohio, USA",24/1/1981,Alive,41.0,26.0
401,Saoirse Ronan,F,"The Bronx, New York City, New York, USA",12/4/1994,Alive,28.0,38.0
402,Ilia Isorelýs Paulino,M,,,,,
403,David Harbour,M,"New York, USA",10/4/1975,Alive,47.0,66.0
404,Daniel Scott-Smith,M,,,,,4.0
405,Zoe Saldana,F,"Passaic, New Jersey, USA",19/6/1978,Alive,44.0,78.0
406,Josh Brolin,M,"Santa Monica, California, USA",12/2/1968,Alive,54.0,76.0
407,Linda Cardellini,F,"Redwood City, California, USA",25/6/1975,Alive,47.0,70.0
408,Chelsea Edmundson,F,"Poplar Bluff, Missouri, USA",31/8/1988,Alive,34.0,30.0
409,Isaac Gonzalez Rossi,M,,,,,14.0
410,Katie Findlay,F,"Windsor, Ontario, Canada",28/8/1990,Alive,32.0,29.0
411,Elizabeth Debicki,F,"Paris, France",24/8/1990,Alive,32.0,25.0
412,Lea Michele,F,"The Bronx, New York City, New York, USA",29/8/1986,Alive,36.0,17.0
413,Ariel Winter,F,"Los Angeles, California, USA",28/1/1998,Alive,24.0,80.0
414,Caitríona Balfe,F,"Dublin, Ireland",4/10/1979,Alive,42.0,17.0
415,Emmy Rossum,F,"New York City, New York, USA",12/9/1986,Alive,35.0,45.0
416,Léa Seydoux,F,"Paris, France",1/7/1985,Alive,37.0,51.0
417,Liv Tyler,F,"New York City, New York, USA",1/7/1977,Alive,45.0,39.0
418,Linda Purl,F,"Greenwich, Connecticut, USA",2/9/1955,Alive,67.0,113.0
419,Maika Monroe,F,"Santa Barbara, California, USA",29/5/1993,Alive,29.0,33.0
420,Kate Winslet,F,"Reading, Berkshire, England, UK",5/10/1975,Alive,46.0,69.0
421,Skyler Gisondo,M,"Palm Beach County, Florida, USA",22/7/1996,Alive,26.0,68.0
422,Martin Scorsese,M,"Queens, New York City, New York, USA",17/11/1942,Alive,79.0,34.0
423,Gerard Butler,M,"Paisley, Scotland, UK",13/11/1969,Alive,52.0,70.0
424,Elisabeth Shue,F,"Wilmington, Delaware, USA",6/10/1963,Alive,58.0,61.0
425,Cary Grant,M,"Horfield, Bristol, England, UK",18/1/1904,29/11/1986,82.0,77.0
426,Anna Gunn,F,"Cleveland, Ohio, USA",11/8/1968,Alive,54.0,67.0
427,Jared Leto,M,"Bossier City, Louisiana, USA",26/12/1971,Alive,50.0,61.0
428,Emma Stone,F,"Scottsdale, Arizona, USA",6/11/1988,Alive,33.0,53.0
429,Mark Ruffalo,M,"Kenosha, Wisconsin, USA",22/11/1967,Alive,54.0,77.0
430,Bradley Cooper,M,"Philadelphia, Pennsylvania, USA",5/1/1975,Alive,47.0,67.0
431,Brian Thompson,M,"Ellensburg, Washington, USA",28/8/1959,Alive,63.0,106.0
432,Anna Chlumsky,F,"Chicago, Illinois, USA",3/12/1980,Alive,41.0,45.0
433,Melanie Lynskey,F,"New Plymouth, New Zealand",16/5/1977,Alive,45.0,84.0
434,Dominique McElligott,F,"Dublin, Ireland",3/5/1986,Alive,36.0,22.0
435,Robert LuPone,M,"Brooklyn, New York City, New York, USA",29/7/1946,27/8/2022,76.0,47.0
436,Hero Fiennes Tiffin,M,"London, England, UK",6/11/1997,Alive,24.0,19.0
437,Molly Ephraim,F,"Philadelphia, Pennsylvania, USA",22/5/1986,Alive,36.0,23.0
438,Connie Nielsen,F,"Elling, Frederikshavn, Denmark",3/7/1965,Alive,57.0,62.0
439,Penn Badgley,M,"Baltimore, Maryland, USA",1/11/1986,Alive,35.0,34.0
440,Martin Henderson,M,"Auckland, New Zealand",8/10/1974,Alive,47.0,46.0
441,Elizabeth Cullen,F,"Cairns, Queensland, Australia",31/8/1997,Alive,25.0,6.0
442,Thora Birch,F,"Los Angeles, California, USA",11/3/1982,Alive,40.0,58.0
443,Adria Arjona,F,Puerto Rico,25/4/1992,Alive,30.0,26.0
444,Elizabeth Banks,F,"Pittsfield, Massachusetts, USA",10/2/1974,Alive,48.0,94.0
445,Sepideh Moafi,F,"Regensburg, Bavaria, West Germany",18/9/1985,Alive,36.0,23.0
446,Olivia Munn,F,"Oklahoma City, Oklahoma, USA",3/7/1980,Alive,42.0,55.0
447,Sienna Miller,F,"New York City, New York, USA",28/12/1981,Alive,40.0,46.0
448,Rachael Harris,F,"Worthington, Ohio, USA",12/1/1968,Alive,54.0,128.0
449,Kaitlyn Dever,F,"Phoenix, Arizona, USA",21/12/1996,Alive,25.0,37.0
450,Kate Mara,F,"Bedford, New York, USA",27/2/1983,Alive,39.0,70.0
451,Brie Larson,F,"Sacramento, California, USA",1/10/1989,Alive,32.0,73.0
452,Daniel Craig,M,"Chester, Cheshire, England, UK",2/3/1968,Alive,54.0,72.0
453,Angela Sarafyan,F,"Yerevan, Armenian SSR, USSR [now Armenia]",30/6/1983,Alive,39.0,75.0
454,Charlie Vickers,M,,,,,5.0
455,Emma Mackey,F,"Le Mans, France",4/1/1996,Alive,26.0,8.0
456,Eiza González,F,"Mexico City, Distrito Federal, Mexico",30/1/1990,Alive,32.0,27.0
457,Ellen Barkin,F,"The Bronx, New York City, New York, USA",16/4/1954,Alive,68.0,70.0
458,Bill Paterson,M,"Glasgow, Scotland, UK",3/6/1945,Alive,77.0,155.0
459,Monica Bellucci,F,"Città di Castello, Umbria, Italy",30/9/1964,Alive,57.0,82.0
460,Eva Green,F,"Paris, France",6/7/1980,Alive,42.0,30.0
461,Megan Thee Stallion,F,"San Antonio, Texas, USA",15/2/1995,Alive,27.0,56.0
462,Tessa Thompson,F,"Los Angeles, California, USA",3/10/1983,Alive,38.0,66.0
463,Sarah Greene,F,"Glanmire, County Cork, Ireland",24/7/1984,Alive,38.0,31.0
464,Teresa Palmer,F,"Adelaide, South Australia, Australia",26/2/1986,Alive,36.0,36.0
465,Rose Byrne,F,"Balmain, Sydney, New South Wales, Australia",24/7/1979,Alive,43.0,79.0
466,Devrim Özkan,F,"Mugla, Turkey",2/9/1998,Alive,24.0,7.0
467,Jennifer Love Hewitt,F,"Waco, Texas, USA",21/2/1979,Alive,43.0,64.0
468,Dare Taylor,F,,,,,6.0
469,Margaret Qualley,F,"Kalispell, Montana, USA",23/10/1994,Alive,27.0,30.0
470,Ezra Miller,M,"Hoboken, New Jersey, USA",30/9/1992,Alive,29.0,35.0
471,Christina Hendricks,F,"Knoxville, Tennessee, USA",3/5/1975,Alive,47.0,69.0
472,Kelly Overton,F,"Wilbraham, Massachusetts, USA",28/8/1978,Alive,44.0,41.0
473,Jack Black,M,"Hermosa Beach, California, USA",28/8/1969,Alive,53.0,176.0
474,Annie Murphy,F,"Ottawa, Ontario, Canada",19/12/1986,Alive,35.0,26.0
475,Ebon Moss-Bachrach,M,"New York, New York, USA",19/3/1977,Alive,45.0,62.0
476,Edward Norton,M,"Boston, Massachusetts, USA",18/8/1969,Alive,53.0,51.0
477,Taylor Sheridan,M,"Cranfills Gap, Bosque, Texas, USA",17/7/1969,Alive,53.0,24.0
478,Steve Howey,M,"San Antonio, Texas, USA",12/7/1977,Alive,45.0,48.0
479,Trevante Rhodes,M,"Ponchatoula, Louisiana, USA",10/2/1990,Alive,32.0,21.0
480,David Corenswet,M,"Philadelphia, Pennsylvania, USA",8/7/1993,Alive,29.0,18.0
481,Vinessa Shaw,F,"Los Angeles, California, USA",19/7/1976,Alive,46.0,52.0
482,Kate Beckinsale,F,"Finsbury Park, London, England, UK",26/7/1973,Alive,49.0,54.0
483,Charlie Hunnam,M,"Newcastle upon Tyne, Tyne and Wear, England, UK",10/4/1980,Alive,42.0,30.0
484,Parker Posey,F,"Baltimore, Maryland, USA",8/11/1968,Alive,53.0,107.0
485,Benedict Cumberbatch,M,"Hammersmith, London, England, UK",19/7/1976,Alive,46.0,93.0
486,Gal Gadot,F,"Rosh Ha'ayin, Israel",30/4/1985,Alive,37.0,35.0
487,Anson Mount,M,"White Bluff, Tennessee, USA",25/2/1973,Alive,49.0,57.0
488,Bronagh Waugh,F,"Coleraine, Northern Ireland, UK",6/10/1982,Alive,39.0,27.0
489,Lauren German,F,"Huntington Beach, California, USA",29/11/1978,Alive,43.0,31.0
490,AnnaSophia Robb,F,"Denver, Colorado, USA",8/12/1993,Alive,28.0,37.0
491,Stephanie Koenig,F,Michigan,1/9/1987,Alive,35.0,44.0
492,Zac Efron,M,"San Luis Obispo, California, USA",18/10/1987,Alive,34.0,67.0
493,Bill Skarsgård,M,"Vällingby, Sweden",9/8/1990,Alive,32.0,42.0
494,Tom Wlaschiha,M,"Dohna, German Democratic Republic",20/6/1973,Alive,49.0,79.0
